[(1743, 330)]
[(1590, 114)]
[(1618, 204)]
[(1618, 204)]
[(1505, 34)]
[(1418, -120)]
[(1294, -339)]
[(1308, -287)]
[(1237, -370)]
[(1153, -523)]
[(1172, -445)]
[(1221, -243)]
[(1167, -236)]
[(1085, -398)]
[(1085, -398)]
[(1066, -367)]
[(1066, -367)]
[(1044, -352)]
[(1071, -211)]
[(1051, -176)]
[(1016, -250)]
[(975, -337), (-3202, -4946)]
[(997, -214)]
[(997, -214)]
[(975, -157), (-3123, -4934)]
[(950, -118), (-2784, -4270)]
[(969, 2), (-2610, -3973)]
[(952, -38), (-2689, -4171)]
[(952, 3), (-2542, -3881)]
[(952, 3), (-2475, -3706)]
[(952, 3), (-2475, -3706)]
[(970, 46), (-2367, -3457)]
[(1015, 152), (-2411, -3544)]
[(1015, 152), (-2318, -3305)]
[(1036, 173)]
[(1051, 195)]
[(1051, 195)]
[(1044, 150)]
[(1049, 149)]
[(1058, 168)]
[(1067, 189)]
[(1068, 188)]
[(1074, 187)]
[(1074, 187)]
[(1090, 210)]
[(1086, 187)]
[(1118, 259)]
[(1159, 312)]
[(1159, 312)]
[(1193, 294)]
[(1193, 294), (-2528, -3790)]
[(1227, 278), (-2483, -3702)]
[(1202, 162), (-2395, -3528)]
[(1236, 235), (-2409, -3538)]
[(1244, 215), (-2409, -3538)]
[(1244, 215), (-2390, -3463)]
[(1229, 147), (-2390, -3463)]
[(1242, 172), (-2329, -3305)]
[(1237, 150)]
[(1237, 150)]
[(1237, 150)]
[(1237, 150)]
[(1236, 148)]
[(1236, 149)]
[(1236, 149)]
[(1235, 148)]
[(1235, 148)]
[(1235, 148)]
[(1235, 148)]
[(1236, 149)]
[(1236, 149)]
[(1236, 148)]
[(1237, 150)]
[(1237, 150), (1793, 4675)]
[(1237, 150)]
[(1237, 150)]
[(1237, 150)]
[(1237, 150)]
[(1237, 150)]
[(1242, 172)]
[(1230, 148)]
[(1230, 148)]
[(1212, 122)]
[(1201, 99), (-2445, -4361)]
[(1200, 119)]
[(1209, 164), (-2157, -3880)]
[(1214, 187), (-2469, -4798)]
[(1203, 163)]
[(1207, 185), (-2061, -4106)]
[(1207, 185), (-1977, -4092)]
[(1201, 184), (-1977, -4092)]
[(1201, 184), (-2203, -4822)]
[(1201, 184), (-2033, -4610)]
[(1201, 184), (-2033, -4610)]
[(1201, 184), (-1620, -3590)]
[(1201, 184), (-1540, -3570)]
[(1201, 184), (256, 3188)]
[(1201, 184), (256, 3188)]
[(1201, 184), (-1131, -2287)]
[(1190, 160), (-1526, -4048)]
[(1195, 182), (-1298, -3431)]
[(1194, 182), (-1568, -4533)]
[(1177, 157), (-1293, -3754)]
[(1191, 226), (-1222, -3861)]
[(1158, 154), (-1422, -4760)]
[(1158, 154), (-1422, -4760)]
[(1128, 149), (-1332, -4833)]
[(1155, 288), (-1134, -4208)]
[(1091, 143)]
[(1059, 161)]
[(1033, 180)]
[(1033, 180)]
[(1019, 203)]
[(1019, 203)]
[(994, 162), (-855, -4587)]
[(994, 162)]
[(960, 125), (824, 1246)]
[(923, 152)]
[(923, 152), (785, 1203)]
[(-44, -2263), (871, 152)]
[(-33, -2294), (872, -1), (744, 1129), (-499, -3889)]
[(-19, -2258), (792, -202), (687, 1003)]
[(43, -2480), (694, -1230), (628, 772)]
[(-32, -2625), (626, -1360), (618, 1077)]
[(35, -2496), (556, -1494), (555, 858), (-371, -4929)]
[(-3, -1980), (548, -348), (553, 1120)]
[(11, -2039), (539, -570), (491, 918), (-208, -4584)]
[(11, -2039), (539, -570), (496, 1270)]
[(78, -1920), (484, -830), (482, 2786)]
[(142, -2250), (511, 192), (469, 2768)]
[(211, -879), (413, 1157)]
[(223, -640), (376, 1059)]
[(232, -374), (382, 1172)]
[(232, -374), (337, 1137)]
[(232, -374), (337, 1137)]
[(219, -136), (300, 1112)]
[(285, 612), (286, -4912)]
[(285, 612), (427, -4362)]
[(354, 1489), (427, -4362)]
[(100, 404)]
[(100, 404)]
[(100, 404)]
[(45, 376)]
[(1, 92), (692, -4560)]
[(-40, 48), (780, -4771)]
[(-59, 204)]
[(-86, 423), (876, -4763)]
[(-113, 201)]
[(-168, 178), (968, -4437)]
[(-205, 420), (990, -4877)]
[(-229, 156), (1041, -3948)]
[(-245, -19), (1106, -3510)]
[(-280, 176), (1140, -3951)]
[(-280, 176), (1168, -3272)]
[(-322, 172), (1204, -3684)]
[(-372, 212), (1216, -3352)]
[(-406, 382), (1254, -3779)]
[(-414, 207), (1299, -3694)]
[(-462, 173), (1307, -3360)]
[(-462, 173), (1333, -3609)]
[(-468, -34), (1342, -3130)]
[(-515, 160), (1384, -2913)]
[(-574, 154), (1384, -2913)]
[(-574, -50), (1420, -3208)]
[(-633, 167), (1470, -3133)]
[(-686, 360), (1470, -2697)]
[(-679, 116), (1529, -3122)]
[(-718, 38), (1526, -2763)]
[(-773, 220), (1583, -2828)]
[(-762, 7), (1583, -2828)]
[(-751, -219), (1616, -3041)]
[(-811, -42), (1629, -2757)]
[(-902, 226), (1621, -2372)]
[(-976, 122), (1621, -1978)]
[(-828, -1253), (1621, -1978)]
[(-1050, -50), (1620, -1630)]
[(-1050, -50), (1612, -1585)]
[(1612, -1585)]
[(1608, -1405)]
[(1604, -1276)]
[(1613, -1319)]
[(1620, -1315)]
[(1618, -1229)]
[(1626, -1270)]
[(-285, -4982), (1625, -1224)]
[(1642, -1308)]
[(-252, -4968), (1638, -1177)]
[(-223, -4951), (1664, -1301)]
[(-218, -4967), (1679, -1299)]
[(-196, -4938), (1673, -1126)]
[(-196, -4938), (1673, -1126)]
[(-196, -4938), (1666, -961)]
[(-174, -4907), (1659, -770)]
[(-157, -4869), (1645, -555)]
[(-139, -4850), (1645, -555)]
